device,date,role,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,raw_trial_ab,raw_cloud_trust,raw_policy_restriction,raw_backup_manifest,raw_telecom_wifi_proximity,raw_daemon_seam,raw_evidence_pressure,raw_lateral_trust,raw_shadow_cloud_terms
USER_ORIGIN_MINI1,2025-08-01,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,330.285,9,17034,2132,1153,37,117,6308,1249,5086,937,15
USER_BRIDGE_15G,2025-08-01,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,217.917,8,1057,106,529,3,15,70,124,185,25,0
USER_DEVICE_12G,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,303.152,9,5016,354,965,14,960,942,580,1029,108,64
USER_DEVICE_MINI2,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,264.501,9,2733,153,1467,30,30,558,150,261,45,39
USER_DEVICE_11PRO,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,286.726,9,4548,1765,460,6,191,270,1210,136,489,21
EXT_UNCERTAIN_B,2025-08-01,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,253.3,8,3221,61,394,11,21,1722,117,816,79,0
EXT_REMOTE_GEO_C,2025-08-01,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,168.959,8,231,76,14,2,58,15,33,26,7,0
EXT_CONTACT_D,2025-08-01,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,209.576,9,730,134,20,5,95,48,75,336,13,4
EXT_CONTACT_E_12PROMAX,2025-08-01,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,274.727,9,4970,224,3565,43,78,173,178,603,98,8
EXT_CONTACT_E_6SPLUS,2025-08-01,EXTERNAL_CONTACT_KNOWN,D_WEAK_OR_GENERIC,84.049,6,50,0,8,0,5,3,14,16,4,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-01,GENERIC_EXTERNAL_LABEL_WEAK,C_RAW_SUPPORT,354.759,9,39362,7346,1413,167,423,14029,4179,10257,1535,13
USER_ORIGIN_MINI1,2025-08-02,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,349.296,9,23196,2585,2341,49,1541,6775,1709,7158,1024,14
USER_BRIDGE_15G,2025-08-02,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,201.013,9,760,184,17,2,10,232,57,155,11,92
USER_DEVICE_12G,2025-08-02,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,316.786,9,9296,376,2728,34,2038,1604,288,2060,104,64
USER_DEVICE_MINI2,2025-08-02,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,254.175,9,2239,318,1203,18,39,99,264,259,36,3
USER_DEVICE_11PRO,2025-08-02,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,229.364,9,1545,622,417,8,18,45,326,87,21,1
EXT_UNCERTAIN_B,2025-08-02,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,266.587,9,2850,172,434,10,30,963,156,954,92,39
EXT_REMOTE_GEO_C,2025-08-02,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,233.254,9,730,74,61,46,123,60,68,252,43,3
EXT_CONTACT_D,2025-08-02,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,256.61,9,2500,216,1355,13,118,80,177,501,39,1
EXT_CONTACT_E_12PROMAX,2025-08-02,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,277.226,9,5937,221,4432,50,88,148,255,634,102,7
EXT_CONTACT_E_6SPLUS,2025-08-02,EXTERNAL_CONTACT_KNOWN,D_WEAK_OR_GENERIC,103.593,6,325,0,8,0,281,3,14,16,3,0
USER_ORIGIN_MINI1,2025-08-03,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,330.372,9,16524,2157,1133,36,120,5335,1523,5335,873,12
USER_BRIDGE_15G,2025-08-03,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,251.066,9,1997,174,881,8,32,231,165,382,28,96
USER_DEVICE_12G,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,293.278,9,4536,262,914,16,994,922,160,1152,58,58
USER_DEVICE_MINI2,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,281.388,9,4191,534,2463,51,69,270,351,333,57,63
USER_DEVICE_11PRO,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,233.893,9,1756,666,508,10,17,51,371,113,19,1
EXT_NO_CONTACT_A,2025-08-03,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,191.714,8,603,131,7,0,15,100,108,161,25,56
EXT_UNCERTAIN_B,2025-08-03,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,255.731,9,2353,131,203,8,20,795,112,936,109,39
EXT_REMOTE_GEO_C,2025-08-03,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,223.881,9,627,89,36,13,74,94,108,155,34,24
EXT_CONTACT_D,2025-08-03,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,266.116,9,3143,152,1933,15,123,174,155,466,55,70
