device,date,csv_support_score,csv_axes_present,csv_total_hits,csv_trial_ab,csv_cloud_trust,csv_policy_restriction,csv_backup_manifest,csv_telecom_wifi_proximity,csv_daemon_seam,csv_evidence_pressure,csv_lateral_trust,csv_shadow_cloud_terms
USER_ORIGIN_MINI1,2025-08-01,168.663,9,26020,1927,4275,1454,3662,3357,1924,4790,1366,3265
USER_BRIDGE_15G,2025-08-01,170.016,9,32412,2801,4278,1208,4022,7745,2458,5014,1637,3249
USER_DEVICE_12G,2025-08-01,168.085,9,18721,1865,2050,990,2430,3000,1666,3392,1086,2242
USER_DEVICE_MINI2,2025-08-01,167.513,9,17368,1732,1899,754,2096,2438,1709,3743,1143,1854
USER_DEVICE_11PRO,2025-08-01,169.041,9,36861,3430,6374,1876,6009,5123,1195,6658,1999,4197
LOW_EXPOSURE_IPAD,2025-08-01,54.602,8,48,3,7,3,7,3,3,13,9,0
EXT_UNCERTAIN_B,2025-08-01,144.057,9,6672,434,414,327,352,600,1430,1228,115,1772
EXT_REMOTE_GEO_C,2025-08-01,142.218,9,5983,953,571,324,445,767,537,1158,32,1196
EXT_CONTACT_D,2025-08-01,126.52,9,3306,192,249,123,262,141,551,764,29,995
EXT_CONTACT_E_12PROMAX,2025-08-01,168.007,9,42125,5952,5661,3869,4377,6298,1430,6926,538,7074
EXT_CONTACT_E_6SPLUS,2025-08-01,2.576,1,2,0,0,0,0,0,0,2,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-01,78.312,9,230,17,13,3,14,88,11,54,27,3
USER_ORIGIN_MINI1,2025-08-02,171.511,9,63442,5205,10753,2150,8030,9890,3698,12059,5077,6580
USER_BRIDGE_15G,2025-08-02,152.821,9,9596,904,648,141,1261,2951,561,1796,616,718
USER_DEVICE_12G,2025-08-02,170.226,9,32417,3620,4219,2457,4680,4770,2368,5594,1466,3243
USER_DEVICE_MINI2,2025-08-02,168.028,9,21568,1724,3547,649,3481,2581,2314,3887,1020,2365
USER_DEVICE_11PRO,2025-08-02,167.867,9,29876,2265,5591,1088,5631,3759,1023,5373,1541,3605
LOW_EXPOSURE_IPAD,2025-08-02,19.126,4,24,0,4,0,4,0,0,10,6,0
EXT_UNCERTAIN_B,2025-08-02,138.851,9,4673,495,688,327,337,504,578,914,33,797
EXT_REMOTE_GEO_C,2025-08-02,160.91,9,13098,1926,1463,967,896,1858,1038,1803,352,2795
EXT_CONTACT_D,2025-08-02,152.959,9,9461,886,883,796,918,915,1041,1948,73,2001
EXT_CONTACT_E_12PROMAX,2025-08-02,168.934,9,47531,6131,6662,5152,5068,6645,1947,7636,595,7695
EXT_CONTACT_E_6SPLUS,2025-08-02,2.576,1,2,0,0,0,0,0,0,2,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-02,26.815,5,32,4,0,0,2,2,6,18,0,0
USER_ORIGIN_MINI1,2025-08-03,169.088,9,28430,2085,4862,1080,4165,3833,2064,5088,1360,3893
USER_BRIDGE_15G,2025-08-03,169.771,9,27616,2371,3118,1278,2738,6734,2734,4577,1145,2921
USER_DEVICE_12G,2025-08-03,169.499,9,24905,3043,2756,668,2195,3503,2315,5536,1783,3106
USER_DEVICE_MINI2,2025-08-03,168.996,9,27053,2572,4364,1281,4537,3571,1723,4907,1477,2621
USER_DEVICE_11PRO,2025-08-03,169.992,9,33780,3599,5512,1604,4815,4768,2024,6381,1404,3673
