device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
USER_ORIGIN_MINI1,2025-08-09,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,422.374,B_RAW_WINDOW_SUPPORT,350.195,9,21572,174.797,9,215578,2849,14128,2577,26386,45,10096,1145,45818,5377,24056,2172,13597,6233,40185,1128,17990,46,23322
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,420.684,A_RAW_CORE_0804,340.642,9,18256,174.407,9,159013,2134,12973,2588,23882,32,7843,672,18570,5018,20053,1628,12335,5275,33651,890,13130,19,16576
USER_ORIGIN_MINI1,2025-08-02,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,420.325,B_RAW_WINDOW_SUPPORT,349.296,9,23196,171.511,9,63442,2585,5205,2341,10753,49,2150,1541,8030,6775,9890,1709,3698,7158,12059,1024,5077,14,6580
USER_ORIGIN_MINI1,2025-08-10,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,419.215,B_RAW_WINDOW_SUPPORT,347.175,9,19303,174.401,9,143012,1964,10231,2918,17512,45,7347,1156,15033,5045,16780,1759,12114,5416,31797,951,14756,49,17442
USER_ORIGIN_MINI1,2025-08-07,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,418.6,B_RAW_WINDOW_SUPPORT,346.59,9,21676,174.313,9,131390,2663,10447,2457,12903,47,4718,996,10911,6260,15167,1463,10163,6752,27250,1018,12880,20,26951
USER_DEVICE_MINI2,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,417.028,B_RAW_WINDOW_SUPPORT,350.634,9,52093,172.555,9,122394,398,8973,4359,19462,54,7036,9241,20916,6929,17707,12558,5278,2638,22267,15893,8835,23,11920
USER_DEVICE_12G,2025-08-07,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,412.029,B_RAW_WINDOW_SUPPORT,345.246,9,26096,173.667,9,146599,928,15152,6772,22458,72,9947,6138,20826,4400,20749,815,9028,6217,26095,622,9061,132,13283
USER_ORIGIN_MINI1,2025-08-05,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,410.032,B_RAW_WINDOW_SUPPORT,338.158,9,18659,173.925,9,130333,2573,11804,2432,17124,34,6418,290,13199,5280,17151,2001,10191,5165,27865,865,12795,19,13786
USER_ORIGIN_MINI1,2025-08-08,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,407.029,B_RAW_WINDOW_SUPPORT,335.289,9,16243,173.543,9,82677,2140,6072,1409,9275,46,3090,174,7616,4479,8205,1488,8730,5582,18799,906,8859,19,12031
USER_ORIGIN_MINI1,2025-08-03,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,400.553,B_RAW_WINDOW_SUPPORT,330.372,9,16524,169.088,9,28430,2157,2085,1133,4862,36,1080,120,4165,5335,3833,1523,2064,5335,5088,873,1360,12,3893
USER_ORIGIN_MINI1,2025-08-01,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,400.317,B_RAW_WINDOW_SUPPORT,330.285,9,17034,168.663,9,26020,2132,1927,1153,4275,37,1454,117,3662,6308,3357,1249,1924,5086,4790,937,1366,15,3265
USER_DEVICE_MINI2,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,400.169,B_RAW_WINDOW_SUPPORT,334.156,9,30240,171.465,9,42039,127,3978,1906,5570,22,762,5357,5642,4365,5854,7397,4362,1493,8607,9546,3161,27,4103
USER_DEVICE_12G,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,397.565,B_RAW_WINDOW_SUPPORT,331.289,9,53879,172.216,9,75876,225,8381,2421,11258,22,2098,2227,11264,23901,11692,1589,5291,11662,13090,11830,6165,2,6637
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,387.293,A_RAW_CORE_0804,313.267,9,8173,171.504,9,58337,256,4979,2406,9624,38,2952,1810,9056,1445,7533,250,3868,1794,11410,96,3320,78,5595
USER_BRIDGE_15G,2025-08-09,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,386.747,B_RAW_WINDOW_SUPPORT,315.629,9,9265,171.766,9,76996,254,7279,2582,10627,39,4219,1960,10310,1733,16351,253,4237,2231,13090,98,4424,115,6459
EXT_CONTACT_D,2025-08-09,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,386.68,B_RAW_WINDOW_SUPPORT,321.511,9,9996,169.054,9,49575,179,5284,3712,6610,27,4949,1796,6221,1391,5918,382,3215,1921,8615,521,427,67,8336
EXT_UNCERTAIN_B,2025-08-10,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,384.965,B_RAW_WINDOW_SUPPORT,313.478,9,7303,164.248,9,34294,295,4286,1599,4532,29,4008,1295,4185,1607,4486,266,1715,2009,5746,144,127,59,5209
USER_DEVICE_12G,2025-08-02,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,382.365,B_RAW_WINDOW_SUPPORT,316.786,9,9296,170.226,9,32417,376,3620,2728,4219,34,2457,2038,4680,1604,4770,288,2368,2060,5594,104,1466,64,3243
USER_BRIDGE_15G,2025-08-07,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,380.66,B_RAW_WINDOW_SUPPORT,309.428,9,6741,172.091,9,82037,308,6474,831,11319,6,3437,694,11655,1026,17904,1392,4988,440,14371,1896,5366,148,6523
USER_DEVICE_12G,2025-08-08,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,375.814,B_RAW_WINDOW_SUPPORT,309.785,9,6541,171.512,9,65701,874,7553,1638,9929,22,1206,1096,7326,916,11050,477,3676,1404,13363,112,4876,2,6722
