device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,420.684,A_RAW_CORE_0804,340.642,9,18256,174.407,9,159013,2134,12973,2588,23882,32,7843,672,18570,5018,20053,1628,12335,5275,33651,890,13130,19,16576
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,387.293,A_RAW_CORE_0804,313.267,9,8173,171.504,9,58337,256,4979,2406,9624,38,2952,1810,9056,1445,7533,250,3868,1794,11410,96,3320,78,5595
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,362.449,A_RAW_CORE_0804,288.239,9,9254,172.028,9,111734,134,14331,7653,14725,168,12977,183,13291,152,16381,382,3763,333,18576,248,976,1,16714
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,361.325,A_RAW_CORE_0804,288.636,9,4240,167.683,9,18496,557,2094,832,2682,10,951,911,2622,681,2568,308,1580,881,3474,32,865,28,1660
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,349.627,A_RAW_CORE_0804,270.681,9,3816,162.702,9,25322,228,2347,687,3778,9,2229,27,2350,1679,3445,184,2256,883,4676,78,80,41,4161
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,336.894,A_RAW_CORE_0804,264.22,9,2951,167.64,9,35528,328,3307,1407,5418,13,2956,28,4330,255,4368,157,2155,592,6751,43,365,128,5878
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,334.67,A_RAW_CORE_0804,318.67,9,34080,0,0,0,77,0,5446,0,12,0,6779,0,2884,0,297,0,5845,0,12692,0,48,0
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,323.084,A_RAW_CORE_0804,243.015,9,892,165.912,9,37415,133,5286,96,4908,28,3783,98,4045,102,5431,127,1262,240,6423,49,283,19,5994
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,318.885,A_RAW_CORE_0804,245.759,9,1929,168.93,9,23293,156,2212,1251,3751,21,1197,24,3447,114,2680,141,2306,141,4807,27,962,54,1931
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,306.626,A_RAW_CORE_0804,228.446,9,1195,169.085,9,27413,151,2243,223,2962,2,678,17,2621,287,7215,68,2806,316,5311,27,1444,104,2133
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,227.325,A_RAW_CORE_0804,212.423,8,1019,2.576,1,2,6,0,27,0,10,0,536,0,103,0,44,0,264,2,29,0,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-04,GENERIC_EXTERNAL_LABEL_WEAK,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,12.873,RAW_MISSING,0,0,0,50.7,6,104,0,6,0,24,0,0,0,2,0,10,0,12,0,50,0,0,0,0
LOW_EXPOSURE_IPAD,2025-08-04,USER_CLUSTER_SUPPORT,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,10.856,RAW_MISSING,0,0,0,8.159,3,6,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0
