source,device,date,axis,hit_count,relative_path,source_root_label,original_device_guess,original_date_guess
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,backup_manifest,429,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,backup_manifest,429,USER_DEVICE_12G/2025/08/1/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,evidence_pressure,399,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,evidence_pressure,399,USER_DEVICE_12G/2025/08/1/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,cloud_trust,380,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,cloud_trust,380,USER_DEVICE_12G/2025/08/1/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,telecom_wifi_proximity,319,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,telecom_wifi_proximity,319,USER_DEVICE_12G/2025/08/1/stacks-2025-08-01-031645.ips,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,daemon_seam,197,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,daemon_seam,197,USER_DEVICE_12G/2025/08/1/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,trial_ab,120,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,trial_ab,120,USER_DEVICE_12G/2025/08/1/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,cloud_trust,101,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,cloud_trust,101,USER_DEVICE_12G/2025/08/1/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,telecom_wifi_proximity,81,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-07-31
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,telecom_wifi_proximity,81,USER_DEVICE_12G/2025/08/1/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-08-01
39b_raw_file_axis,USER_DEVICE_12G,2025-08-01,evidence_pressure,64,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/Analytics-2025-08-01-070008.ips.ca.synced,my_device_logs,USER_DEVICE_12G,2025-07-31
