device,date,relative_path,file_kind,total_hits,axis_count,top_file_share_pct,trial_ab,cloud_trust,policy_restriction,backup_manifest,telecom_wifi_proximity,daemon_seam,evidence_pressure,lateral_trust,shadow_cloud_terms
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/RTCReporting_messageLog_2025-08-04-04-27-11.txt,RTCReporting,32435,6,95.173,0,4587,0,6746,2568,222,5668,12644,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/JetsamEvent-2025-08-04-072017.ips,JetsamEvent,578,9,1.696,2,493,8,12,12,21,16,13,1
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SystemMemoryReset-2025-08-04-042628.ips,Reset,405,8,1.188,3,351,3,5,5,18,12,8,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/log-power-2025-08-04-181637.session,PowerSession,208,5,0.61,45,0,0,1,79,0,38,0,45
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/Analytics-2025-08-04-070126.ips.ca.synced,Analytics,199,8,0.584,27,9,1,9,82,14,53,4,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/WiFiConnectionQuality-2025-08-04-204408.ips,WiFiConnectionQuality,137,3,0.402,0,0,0,0,133,0,3,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/duetexpertd.cpu_resource-2025-08-04-043838.ips,CPUResource,12,3,0.035,0,0,0,0,1,8,3,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/signpost_reporter.cpu_resource-2025-08-04-043454.ips,CPUResource,10,4,0.029,0,2,0,0,1,4,3,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/ShopeeVN.diskwrites_resource-2025-08-04-172933.ips,DiskWrites,5,2,0.015,0,0,0,0,0,0,3,0,2
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-ckks.json-2025-08-04-013713.ips,SFA_CKKS_CloudServices,4,4,0.012,0,1,0,1,1,0,1,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-ckks.json-2025-08-04-071756.000.ips,SFA_CKKS_CloudServices,4,4,0.012,0,1,0,1,1,0,1,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-013615.ips,Other,3,2,0.009,0,0,0,0,0,0,2,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-122138.ips,Other,3,2,0.009,0,0,0,0,0,0,2,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-CloudServices.json-2025-08-04-071755.ips,SFA_CKKS_CloudServices,2,2,0.006,0,0,0,1,0,0,1,0,0
