device,date,file_kind,total_hits,file_count,share_pct,trial_ab,cloud_trust,policy_restriction,backup_manifest,telecom_wifi_proximity,daemon_seam,evidence_pressure,lateral_trust,shadow_cloud_terms
EXT_NO_CONTACT_A,2025-08-04,RTCReporting,32435,1,95.173,0,4587,0,6746,2568,222,5668,12644,0
EXT_NO_CONTACT_A,2025-08-04,JetsamEvent,578,1,1.696,2,493,8,12,12,21,16,13,1
EXT_NO_CONTACT_A,2025-08-04,Reset,405,1,1.188,3,351,3,5,5,18,12,8,0
EXT_NO_CONTACT_A,2025-08-04,PowerSession,208,1,0.61,45,0,0,1,79,0,38,0,45
EXT_NO_CONTACT_A,2025-08-04,Analytics,199,1,0.584,27,9,1,9,82,14,53,4,0
EXT_NO_CONTACT_A,2025-08-04,WiFiConnectionQuality,137,1,0.402,0,0,0,0,133,0,3,1,0
EXT_NO_CONTACT_A,2025-08-04,Other,66,32,0.194,0,0,0,0,0,10,34,22,0
EXT_NO_CONTACT_A,2025-08-04,SFA_CKKS_CloudServices,25,12,0.073,0,4,0,6,3,0,12,0,0
EXT_NO_CONTACT_A,2025-08-04,CPUResource,22,2,0.065,0,2,0,0,2,12,6,0,0
EXT_NO_CONTACT_A,2025-08-04,DiskWrites,5,1,0.015,0,0,0,0,0,0,3,0,2
