device,date,role,final_tier,support_class,trial_overlap_verdict,raw_trial_ab,csv_trial_ab,raw_total_axis_hits,csv_total_hits,raw_trial_share_pct,csv_trial_share_pct,raw_trial_source_file_count,triald_direct_file_count,triald_direct_hits,trial_file_kind_counts,top_trial_files
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,2134,12973,18256,159013,11.689,8.158,10,1,294,analytics:1;ips_other:2;jetsam:4;sfa_cloud:2;triald_direct:1,1815:USER_ORIGIN_MINI1/2025/08/4/Analytics-2025-08-04-070008.ips.ca.synced | 294:USER_ORIGIN_MINI1/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips | 10:USER_ORIGIN_MINI1/2025/08/4/searchd-2025-08-04-213129.ips | 3:USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-025247.ips | 3:USER_ORIGIN_MINI1/2025/08/4/cloudd.diskwrites_resource-2025-08-04-072507.ips
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,151,2243,1195,27413,12.636,8.182,6,1,8,analytics:1;ips_other:2;power_session:2;triald_direct:1,52:退避フォルダ/USER_BRIDGE_15G/bin&session/log-power-2025-08-04-155617.session | 52:USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session | 17:USER_BRIDGE_15G/2025/08/4/Analytics-2025-08-04-070022.ips.ca.synced | 11:USER_BRIDGE_15G/2025/08/4/ChatGPT-2025-08-04-190135.ips | 11:USER_BRIDGE_15G/2025/08/4/IntentsExtension-2025-08-04-221052.ips
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,256,4979,8173,58337,3.132,8.535,14,2,164,ips_other:4;jetsam:2;power_session:2;sfa_cloud:4;triald_direct:2,82:退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-04/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips | 82:USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips | 37:退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-04/log-power-2025-08-04-212410.000.session | 37:USER_DEVICE_12G/2025/08/4/log-power-2025-08-04-212410.000.session | 3:退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-04/JetsamEvent-2025-08-04-061031.ips
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,156,2212,1929,23293,8.087,9.496,9,3,99,jetsam:3;power_session:3;triald_direct:3,33:退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips | 33:退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips | 33:USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips | 17:退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/log-power-2025-08-04-043122.session | 17:退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/log-power-2025-08-04-043122.session
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,557,2094,4240,18496,13.137,11.321,4,1,527,ips_other:2;power_session:1;triald_direct:1,527:USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips | 26:USER_DEVICE_11PRO/2025/08/4/log-power-2025-08-04-023140.session | 2:USER_DEVICE_11PRO/2025/08/4/stacks-2025-08-04-042949.ips | 2:USER_DEVICE_11PRO/2025/08/4/stacks-2025-08-04-135726.ips
LOW_EXPOSURE_IPAD,2025-08-04,USER_CLUSTER_SUPPORT,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,NO_TRIAL_SUPPORT,0,0,0,6,0.0,0.0,0,0,0,,
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,C_RAW_TRIAL_PRESENT_WEAK_CONTEXT,77,0,34080,0,0.226,0.0,4,0,0,analytics:1;ips_other:1;jetsam:1;power_session:1,45:EXT_NO_CONTACT_A/2025/08/4/log-power-2025-08-04-181637.session | 27:EXT_NO_CONTACT_A/2025/08/4/Analytics-2025-08-04-070126.ips.ca.synced | 3:EXT_NO_CONTACT_A/2025/08/4/SystemMemoryReset-2025-08-04-042628.ips | 2:EXT_NO_CONTACT_A/2025/08/4/JetsamEvent-2025-08-04-072017.ips
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,228,2347,3816,25322,5.975,9.269,5,1,116,analytics:1;jetsam:2;power_session:1;triald_direct:1,116:EXT_UNCERTAIN_B/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips | 71:EXT_UNCERTAIN_B/08/4/Analytics-2025-08-04-070012.ips.ca.synced | 37:EXT_UNCERTAIN_B/08/4/log-power-2025-08-04-175845.session | 2:EXT_UNCERTAIN_B/08/4/JetsamEvent-2025-08-04-070645.ips | 2:EXT_UNCERTAIN_B/08/4/JetsamEvent-2025-08-04-071602.ips
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,133,5286,892,37415,14.91,14.128,19,1,71,analytics:6;ips_other:5;jetsam:6;power_session:1;triald_direct:1,71:EXT_REMOTE_GEO_C/2025/08/4/triald.cpu_resource-2025-08-04-213702.ips | 19:EXT_REMOTE_GEO_C/2025/08/4/log-power-2025-08-04-175347.session | 11:EXT_REMOTE_GEO_C/2025/08/4/WidgetKitExtension-2025-08-04-030646.ips | 10:EXT_REMOTE_GEO_C/2025/08/4/WidgetKitExtension-2025-08-04-030642.ips | 5:EXT_REMOTE_GEO_C/2025/08/4/Analytics-Never-2025-08-04-070320.0005.ips.ca.synced
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRIAL_COHORT_STRONG_OVERLAP,328,3307,2951,35528,11.115,9.308,7,1,173,analytics:1;jetsam:3;power_session:2;triald_direct:1,173:Ha Thao/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips | 62:Ha Thao/2025/08/4/log-power-2025-08-04-094431.session | 62:Ha Thao/2025/08/4/log-power-2025-08-04-094854.session | 21:Ha Thao/2025/08/4/Analytics-2025-08-04-070135.ips.ca.synced | 5:Ha Thao/2025/08/4/JetsamEvent-2025-08-04-091100.ips
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_RAW_CSV_TRIAL_OVERLAP,134,14331,9254,111734,1.448,12.826,27,0,0,ips_other:8;jetsam:19,12:EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/MBBHomeWidgetExtension-2025-08-04-190959.ips | 11:EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/ExcUserFault_SignalNSE-2025-08-04-221126.ips | 11:EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/MBBHomeWidgetExtension-2025-08-04-230530.ips | 11:EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/MBBHomeWidgetExtension-2025-08-04-230532.ips | 10:EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/ExcUserFault_apsd-2025-08-04-230508.ips
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,C_RAW_TRIAL_PRESENT_WEAK_CONTEXT,6,0,1019,2,0.589,0.0,1,0,0,ips_other:1,6:EXT_CONTACT_E/2025/iPhone6s Plus/08/4/log-aggregated-2025-08-04-073425.ips
CONTROL_OR_GENERIC_EXTERNAL,2025-08-04,GENERIC_EXTERNAL_LABEL_WEAK,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,D_CSV_ONLY_TRIAL_NOT_DECISION,0,6,0,104,0.0,5.769,0,0,0,,
UNKNOWN,2025-08-04,UNKNOWN,NO_40B_CORE_ROW,,D_CSV_ONLY_TRIAL_NOT_DECISION,0,4,0,464,0.0,0.862,0,0,0,,
