device,date,role,raw_trial_ab,trial_source_file_count,triald_direct_file_count,is_core_date
USER_ORIGIN_MINI1,2025-08-01,ORIGIN_CORE,2132,2,0,NO
USER_BRIDGE_15G,2025-08-01,BRIDGE_TO_LATER_JOKER,106,9,1,NO
USER_DEVICE_12G,2025-08-01,USER_CLUSTER_SUPPORT,354,8,2,NO
USER_DEVICE_MINI2,2025-08-01,USER_CLUSTER_SUPPORT,153,12,3,NO
USER_DEVICE_11PRO,2025-08-01,USER_CLUSTER_SUPPORT,1765,7,3,NO
EXT_UNCERTAIN_B,2025-08-01,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,61,3,0,NO
EXT_REMOTE_GEO_C,2025-08-01,EXTERNAL_GEO_SEPARATED,76,6,1,NO
EXT_CONTACT_D,2025-08-01,EXTERNAL_CONTACT_KNOWN,134,2,1,NO
EXT_CONTACT_E_12PROMAX,2025-08-01,EXTERNAL_CONTACT_KNOWN,224,21,0,NO
CONTROL_OR_GENERIC_EXTERNAL,2025-08-01,GENERIC_EXTERNAL_LABEL_WEAK,7346,2,0,NO
USER_ORIGIN_MINI1,2025-08-02,ORIGIN_CORE,2585,24,1,NO
USER_BRIDGE_15G,2025-08-02,BRIDGE_TO_LATER_JOKER,184,5,1,NO
USER_DEVICE_12G,2025-08-02,USER_CLUSTER_SUPPORT,376,12,2,NO
USER_DEVICE_MINI2,2025-08-02,USER_CLUSTER_SUPPORT,318,9,3,NO
USER_DEVICE_11PRO,2025-08-02,USER_CLUSTER_SUPPORT,622,5,1,NO
EXT_UNCERTAIN_B,2025-08-02,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,172,4,1,NO
EXT_REMOTE_GEO_C,2025-08-02,EXTERNAL_GEO_SEPARATED,74,16,0,NO
EXT_CONTACT_D,2025-08-02,EXTERNAL_CONTACT_KNOWN,216,5,1,NO
EXT_CONTACT_E_12PROMAX,2025-08-02,EXTERNAL_CONTACT_KNOWN,221,25,0,NO
USER_ORIGIN_MINI1,2025-08-03,ORIGIN_CORE,2157,4,1,NO
USER_BRIDGE_15G,2025-08-03,BRIDGE_TO_LATER_JOKER,174,6,1,NO
USER_DEVICE_12G,2025-08-03,USER_CLUSTER_SUPPORT,262,14,2,NO
USER_DEVICE_MINI2,2025-08-03,USER_CLUSTER_SUPPORT,534,15,3,NO
USER_DEVICE_11PRO,2025-08-03,USER_CLUSTER_SUPPORT,666,6,1,NO
EXT_NO_CONTACT_A,2025-08-03,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,131,2,1,NO
EXT_UNCERTAIN_B,2025-08-03,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,131,3,0,NO
EXT_REMOTE_GEO_C,2025-08-03,EXTERNAL_GEO_SEPARATED,89,17,0,NO
EXT_CONTACT_D,2025-08-03,EXTERNAL_CONTACT_KNOWN,152,10,1,NO
EXT_CONTACT_E_12PROMAX,2025-08-03,EXTERNAL_CONTACT_KNOWN,147,8,0,NO
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,2134,10,1,YES
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,151,6,1,YES
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,256,14,2,YES
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,156,9,3,YES
