device,date,role,40b_final_tier,40b_support_class,verdict,direct_event_count,proactive_triald_event_count,triald_cpu_resource_event_count,trial_ab_hits,daemon_seam_hits,evidence_pressure_hits,cloud_trust_hits,first_timestamp,last_timestamp,event_kind_summary,top_paths
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,294,127,1,2,2025-08-04 04:54:42,2025-08-04 04:54:42,PROACTIVE_TRIALD_DIRECT:1,USER_ORIGIN_MINI1/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,8,3,1,0,2025-08-04 00:14:02,2025-08-04 00:14:02,PROACTIVE_TRIALD_DIRECT:1,USER_BRIDGE_15G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-001402.ips
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,82,38,1,0,2025-08-04 05:31:36,2025-08-04 05:31:36,PROACTIVE_TRIALD_DIRECT:1,USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,33,15,1,0,2025-08-04 04:30:30,2025-08-04 04:30:30,PROACTIVE_TRIALD_DIRECT:1,USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,527,260,1,0,2025-08-04 21:25:17,2025-08-04 21:25:17,PROACTIVE_TRIALD_DIRECT:1,USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips
LOW_EXPOSURE_IPAD,2025-08-04,USER_CLUSTER_SUPPORT,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,NO_TRIALD_DIRECT_0804,0,0,0,0,0,0,0,,,,
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,C_CORE_NO_TRIALD_DIRECT_0804,0,0,0,0,0,0,0,,,,
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,116,52,1,0,2025-08-04 05:40:38,2025-08-04 05:40:38,PROACTIVE_TRIALD_DIRECT:1,EXT_UNCERTAIN_B/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_CORE_WITH_TRIALD_CPU_DIRECT_ONLY,1,0,1,71,6,1,0,2025-08-04 21:37:02,2025-08-04 21:37:02,TRIALD_CPU_RESOURCE_DIRECT:1,EXT_REMOTE_GEO_C/2025/08/4/triald.cpu_resource-2025-08-04-213702.ips
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_CORE_WITH_PROACTIVE_TRIALD_DIRECT,1,1,0,173,79,1,0,2025-08-04 18:35:47,2025-08-04 18:35:47,PROACTIVE_TRIALD_DIRECT:1,Ha Thao/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,C_CORE_NO_TRIALD_DIRECT_0804,0,0,0,0,0,0,0,,,,
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,C_CORE_NO_TRIALD_DIRECT_0804,0,0,0,0,0,0,0,,,,
CONTROL_OR_GENERIC_EXTERNAL,2025-08-04,GENERIC_EXTERNAL_LABEL_WEAK,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,NO_TRIALD_DIRECT_0804,0,0,0,0,0,0,0,,,,
