device,date,role,final_tier_40b,support_class_40b,trust_lineage_verdict,trust_lineage_score,trust_axes_present_4,context_axes_present_5,triald_direct_0804,first_triald_direct_ts_0804,raw_cloud_trust,raw_policy_restriction,raw_lateral_trust,raw_backup_manifest,raw_telecom_wifi_proximity,raw_trial_ab,raw_daemon_seam,raw_evidence_pressure,raw_shadow_cloud_terms
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,53.126,4,5,NO,,5446,12,12692,6779,2884,77,297,5845,48
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,52.813,4,5,YES,2025-08-04 04:54:42,2588,32,890,672,5018,2134,1628,5275,19
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,50.193,4,5,YES,2025-08-04 05:31:36,2406,38,96,1810,1445,256,250,1794,78
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,46.112,4,5,NO,,7653,168,248,183,152,134,382,333,1
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,43.812,4,5,YES,2025-08-04 21:25:17,832,10,32,911,681,557,308,881,28
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,41.063,4,5,YES,2025-08-04 05:40:38,687,9,78,27,1679,228,184,883,41
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,40.772,4,5,YES,2025-08-04 18:35:47,1407,13,43,28,255,328,157,592,128
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,39.684,4,5,YES,2025-08-04 04:30:30,1251,21,27,24,114,156,141,141,54
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,39.021,4,5,YES,2025-08-04 21:37:02,96,28,49,98,102,133,127,240,19
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,34.391,4,5,YES,2025-08-04 00:14:02,223,2,27,17,287,151,68,316,104
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,31.977,4,4,NO,,27,10,29,536,103,6,44,264,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-04,GENERIC_EXTERNAL_LABEL_WEAK,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,E_NO_TRUST_LINEAGE_DECISION,2.0,0,0,NO,,0,0,0,0,0,0,0,0,0
LOW_EXPOSURE_IPAD,2025-08-04,USER_CLUSTER_SUPPORT,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,E_NO_TRUST_LINEAGE_DECISION,2.0,0,0,NO,,0,0,0,0,0,0,0,0,0
