device,date,trust_lineage_score_raw_only,trust_axes_present_4,context_axes_present_5,triald_direct_on_core_day,cloud_trust,policy_restriction,lateral_trust,backup_manifest,telecom_wifi_proximity,trial_ab,daemon_seam,evidence_pressure,shadow_cloud_terms
CONTROL_OR_GENERIC_EXTERNAL,2025-08-01,43.113,4,5,NO,1413,167,1535,423,14029,7346,4179,10257,13
USER_ORIGIN_MINI1,2025-08-01,37.631,4,5,NO,1153,37,937,117,6308,2132,1249,5086,15
EXT_CONTACT_E_12PROMAX,2025-08-01,33.446,4,5,NO,3565,43,98,78,173,224,178,603,8
USER_DEVICE_MINI2,2025-08-01,29.661,4,5,NO,1467,30,42,30,429,153,150,252,39
USER_DEVICE_12G,2025-08-01,29.614,4,5,NO,481,7,55,480,469,177,292,518,32
EXT_UNCERTAIN_B,2025-08-01,27.823,4,4,NO,394,11,79,21,1722,61,117,816,0
USER_DEVICE_11PRO,2025-08-01,23.023,4,5,NO,411,6,19,19,111,1765,877,132,21
USER_BRIDGE_15G,2025-08-01,22.418,4,4,NO,529,3,25,15,70,106,124,185,0
EXT_CONTACT_D,2025-08-01,19.831,4,5,NO,20,5,13,95,48,134,75,336,4
EXT_REMOTE_GEO_C,2025-08-01,15.48,4,4,NO,14,2,7,58,15,76,33,26,0
EXT_CONTACT_E_6SPLUS,2025-08-01,8.881,3,3,NO,8,0,4,5,3,0,14,16,0
USER_ORIGIN_MINI1,2025-08-02,42.241,4,5,NO,2341,49,1024,1541,6775,2585,1709,7158,14
EXT_CONTACT_E_12PROMAX,2025-08-02,34.115,4,5,NO,4432,50,102,88,148,221,255,634,7
USER_DEVICE_12G,2025-08-02,33.694,4,5,NO,1364,17,52,1019,802,188,144,1030,32
EXT_CONTACT_D,2025-08-02,29.032,4,5,NO,1355,13,39,118,80,216,177,501,1
EXT_UNCERTAIN_B,2025-08-02,28.148,4,5,NO,434,10,92,30,963,172,156,954,39
USER_DEVICE_MINI2,2025-08-02,28.048,4,5,NO,1203,18,38,41,100,318,264,259,3
EXT_REMOTE_GEO_C,2025-08-02,26.528,4,5,NO,61,46,43,123,60,74,68,252,3
USER_DEVICE_11PRO,2025-08-02,22.917,4,5,NO,417,8,21,18,45,622,326,87,1
USER_BRIDGE_15G,2025-08-02,16.37,4,5,NO,17,2,11,10,232,184,57,155,92
EXT_CONTACT_E_6SPLUS,2025-08-02,12.937,3,3,NO,8,0,3,281,3,0,14,16,0
USER_ORIGIN_MINI1,2025-08-03,37.428,4,5,NO,1133,36,873,120,5335,2157,1523,5335,12
USER_DEVICE_MINI2,2025-08-03,32.4,4,5,NO,2463,51,57,69,270,534,351,333,63
EXT_CONTACT_D,2025-08-03,30.607,4,5,NO,1933,15,55,123,174,152,155,466,70
USER_DEVICE_12G,2025-08-03,28.992,4,5,NO,457,8,29,497,461,131,80,576,29
EXT_UNCERTAIN_B,2025-08-03,26.437,4,5,NO,203,8,109,20,795,131,112,936,39
USER_BRIDGE_15G,2025-08-03,26.292,4,5,NO,881,8,28,32,231,174,165,382,96
USER_DEVICE_11PRO,2025-08-03,23.49,4,5,NO,508,10,19,17,51,666,371,113,1
EXT_REMOTE_GEO_C,2025-08-03,23.009,4,5,NO,36,13,34,74,94,89,108,155,24
EXT_CONTACT_E_12PROMAX,2025-08-03,21.156,4,5,NO,39,9,22,23,111,147,16,417,1
EXT_NO_CONTACT_A,2025-08-03,14.438,3,5,NO,7,0,25,15,100,131,108,161,56
EXT_CONTACT_E_6SPLUS,2025-08-03,13.338,3,3,NO,8,0,4,322,3,0,14,14,0
EXT_NO_CONTACT_A,2025-08-04,45.626,4,5,NO,5446,12,12692,6779,2884,77,297,5845,48
USER_ORIGIN_MINI1,2025-08-04,45.313,4,5,YES,2588,32,890,672,5018,2134,1628,5275,19
EXT_CONTACT_E_12PROMAX,2025-08-04,38.612,4,5,NO,7653,168,248,183,152,134,382,333,1
USER_DEVICE_12G,2025-08-04,38.356,4,5,YES,1203,19,48,905,723,128,125,898,39
USER_DEVICE_11PRO,2025-08-04,36.312,4,5,YES,832,10,32,911,681,557,308,881,28
EXT_UNCERTAIN_B,2025-08-04,33.563,4,5,YES,687,9,78,27,1679,228,184,883,41
EXT_CONTACT_D,2025-08-04,33.272,4,5,YES,1407,13,43,28,255,328,157,592,128
USER_DEVICE_MINI2,2025-08-04,32.184,4,5,YES,1251,21,27,24,114,156,141,141,54
EXT_REMOTE_GEO_C,2025-08-04,31.521,4,5,YES,96,28,49,98,102,133,127,240,19
USER_BRIDGE_15G,2025-08-04,26.891,4,5,YES,223,2,27,17,287,151,68,316,104
EXT_CONTACT_E_6SPLUS,2025-08-04,24.477,4,4,NO,27,10,29,536,103,6,44,264,0
EXT_CONTACT_E_12PROMAX,2025-08-05,39.876,4,5,NO,10812,128,232,308,305,326,530,965,14
USER_ORIGIN_MINI1,2025-08-05,39.36,4,5,NO,2432,34,865,290,5280,2573,2001,5165,19
EXT_CONTACT_D,2025-08-05,30.827,4,5,NO,1527,14,43,225,273,267,135,549,133
USER_BRIDGE_15G,2025-08-05,29.71,4,5,NO,1214,19,48,65,301,273,159,443,114
USER_DEVICE_MINI2,2025-08-05,28.343,4,5,NO,1332,18,36,33,207,369,303,330,51
EXT_NO_CONTACT_A,2025-08-05,27.686,4,5,NO,872,18,29,35,339,317,166,236,53
EXT_UNCERTAIN_B,2025-08-05,27.085,4,5,NO,399,9,62,24,997,107,77,809,43
EXT_REMOTE_GEO_C,2025-08-05,24.537,4,5,NO,57,28,31,76,78,58,83,111,22
