device,first_trust_axis_ts_0804,timestamp_confidence,trust_axes_present_4,trust_axis_total_hits_0804,top_trust_source_path,top_trust_source_hits,triald_direct_0804,first_triald_direct_ts_0804,role,sequence_order_by_first_trust_axis
USER_DEVICE_MINI2,2025-08-04 00:01:00,filename_datetime,4,1323,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/JetsamEvent-2025-08-04-223000.ips,415,YES,2025-08-04 04:30:30,USER_CLUSTER_SUPPORT,1
EXT_CONTACT_D,2025-08-04 00:14:28,filename_datetime,4,1491,Ha Thao/2025/08/4/JetsamEvent-2025-08-04-091100.ips,504,YES,2025-08-04 18:35:47,EXTERNAL_CONTACT_KNOWN,2
USER_BRIDGE_15G,2025-08-04 00:18:46,filename_datetime,4,269,USER_BRIDGE_15G/2025/08/4/JetsamEvent-2025-08-04-015220.ips,199,YES,2025-08-04 00:14:02,BRIDGE_TO_LATER_JOKER,3
USER_DEVICE_12G,2025-08-04 00:29:12,filename_datetime,4,2175,USER_DEVICE_12G/2025/08/4/stacks-2025-08-04-151552.ips,490,YES,2025-08-04 05:31:36,USER_CLUSTER_SUPPORT,4
USER_DEVICE_11PRO,2025-08-04 00:37:53,filename_datetime,4,1785,USER_DEVICE_11PRO/2025/08/4/stacks-2025-08-04-135726.ips,467,YES,2025-08-04 21:25:17,USER_CLUSTER_SUPPORT,5
EXT_CONTACT_E_6SPLUS,2025-08-04 01:09:46,filename_datetime,4,602,EXT_CONTACT_E/2025/iPhone6s Plus/08/4/CoreTime-2025-08-04-070820.ips.synced,500,NO,,EXTERNAL_CONTACT_KNOWN,6
EXT_NO_CONTACT_A,2025-08-04 01:36:15,filename_datetime,4,24929,EXT_NO_CONTACT_A/2025/08/4/RTCReporting_messageLog_2025-08-04-04-27-11.txt,12644,NO,,EXTERNAL_NO_CONTACT_RAW_ONLY_CRITICAL,7
USER_ORIGIN_MINI1,2025-08-04 02:51:55,filename_datetime,4,4182,USER_ORIGIN_MINI1/2025/08/4/Analytics-2025-08-04-070008.ips.ca.synced,756,YES,2025-08-04 04:54:42,ORIGIN_CORE,8
EXT_REMOTE_GEO_C,2025-08-04 03:06:42,filename_datetime,4,271,EXT_REMOTE_GEO_C/2025/08/4/log-aggregated-2025-08-04-070318.ips,54,YES,2025-08-04 21:37:02,EXTERNAL_REMOTE_GEO_CONTACT,9
EXT_UNCERTAIN_B,2025-08-04 07:00:12,filename_datetime,4,801,EXT_UNCERTAIN_B/08/4/JetsamEvent-2025-08-04-070645.ips,298,YES,2025-08-04 05:40:38,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,10
EXT_CONTACT_E_12PROMAX,2025-08-04 18:14:22,filename_datetime,4,8252,EXT_CONTACT_E/2025/iPhone12 Pro Max/08/4/JetsamEvent-2025-08-04-231559.ips,414,NO,,EXTERNAL_CONTACT_KNOWN,11
