device,date,axis,rank,hit_count,relative_path,source_root_label
USER_BRIDGE_15G,2025-08-04,backup_manifest,1,7,USER_BRIDGE_15G/2025/08/4/Analytics-2025-08-04-070022.ips.ca.synced,my_device_logs
USER_BRIDGE_15G,2025-08-04,backup_manifest,2,4,USER_BRIDGE_15G/2025/08/4/JetsamEvent-2025-08-04-015220.ips,my_device_logs
USER_BRIDGE_15G,2025-08-04,backup_manifest,3,2,USER_BRIDGE_15G/2025/08/4/ChatGPT-2025-08-04-190135.ips,my_device_logs
USER_BRIDGE_15G,2025-08-04,backup_manifest,4,1,退避フォルダ/USER_BRIDGE_15G/bin&session/log-power-2025-08-04-155617.session,my_device_logs
USER_BRIDGE_15G,2025-08-04,backup_manifest,5,1,USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session,my_device_logs
USER_BRIDGE_15G,2025-08-04,cloud_trust,1,199,USER_BRIDGE_15G/2025/08/4/JetsamEvent-2025-08-04-015220.ips,my_device_logs
USER_BRIDGE_15G,2025-08-04,cloud_trust,2,18,USER_BRIDGE_15G/2025/08/4/Analytics-2025-08-04-070022.ips.ca.synced,my_device_logs
USER_BRIDGE_15G,2025-08-04,cloud_trust,3,2,USER_BRIDGE_15G/2025/08/4/ChatGPT-2025-08-04-190135.ips,my_device_logs
USER_BRIDGE_15G,2025-08-04,cloud_trust,4,1,退避フォルダ/USER_BRIDGE_15G/bin&session/log-power-2025-08-04-155617.session,my_device_logs
USER_BRIDGE_15G,2025-08-04,cloud_trust,5,1,USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session,my_device_logs
USER_BRIDGE_15G,2025-08-04,evidence_pressure,1,152,USER_BRIDGE_15G/2025/08/4/Analytics-2025-08-04-070022.ips.ca.synced,my_device_logs
USER_BRIDGE_15G,2025-08-04,evidence_pressure,2,59,退避フォルダ/USER_BRIDGE_15G/bin&session/log-power-2025-08-04-155617.session,my_device_logs
USER_BRIDGE_15G,2025-08-04,evidence_pressure,3,59,USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session,my_device_logs
