device,date,role,backup_manifest_verdict,inheritance_shadow_score,final_tier_40b,support_class_40b,trust_lineage_verdict_43,raw_backup_manifest_from_40b,raw_backup_manifest_from_43,backup_manifest_source_hits_39b,backup_manifest_source_files_0804,source_kind_count_0804,rtcr_reporting_files_0804,backup_workspace_or_manifest_files_0804,direct_manifest_files_0804,manifest_inventory_db_count,manifest_inventory_status_plist_count,manifest_inventory_info_plist_count,manifest_inventory_date_count,manifest_inventory_first_date,manifest_inventory_last_date,claim_boundary
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,68.324,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,672,672,672,21,6,2,0,0,40,40,41,15,2026-01-01,2026-03-03,local_artifact_shadow_not_restore_or_server_side_proof
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,C_WEAK_BACKUP_MANIFEST_CONTEXT,37.942,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,17,17,17,7,4,0,0,0,14,29,26,10,2025-12-20,2026-04-01,local_artifact_shadow_not_restore_or_server_side_proof
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,56.357,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,1810,1810,905,11,5,0,0,0,24,34,34,9,2025-12-30,2026-02-01,local_artifact_shadow_not_restore_or_server_side_proof
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,C_WEAK_BACKUP_MANIFEST_CONTEXT,38.484,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,24,24,24,9,3,0,0,0,12,16,16,9,2025-12-19,2026-01-12,local_artifact_shadow_not_restore_or_server_side_proof
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,42.080,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,911,911,911,2,1,0,0,0,18,22,23,5,2025-12-24,2026-01-28,local_artifact_shadow_not_restore_or_server_side_proof
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,C_WEAK_BACKUP_MANIFEST_CONTEXT,26.377,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,27,27,27,4,3,0,0,0,0,0,0,0,,,local_artifact_shadow_not_restore_or_server_side_proof
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,59.350,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,6779,6779,6779,11,7,1,0,0,0,0,0,0,,,local_artifact_shadow_not_restore_or_server_side_proof
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,C_WEAK_BACKUP_MANIFEST_CONTEXT,27.199,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,28,28,28,5,3,0,0,0,0,0,0,0,,,local_artifact_shadow_not_restore_or_server_side_proof
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,39.019,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,183,183,183,19,1,0,0,0,1,2,2,1,2026-01-29,2026-01-29,local_artifact_shadow_not_restore_or_server_side_proof
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,33.640,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,536,536,536,4,3,0,0,0,0,0,0,0,,,local_artifact_shadow_not_restore_or_server_side_proof
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,33.565,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,98,98,98,8,3,0,0,0,0,0,0,0,,,local_artifact_shadow_not_restore_or_server_side_proof
