device,date,role,backup_manifest_hits,source_files,source_kind_count,source_kinds,window_flag
USER_ORIGIN_MINI1,2025-08-01,ORIGIN_CORE,117,4,4,analytics_log:110;jetsam:5;cloud_related_log:1;other:1,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,ORIGIN_CORE,1541,13,4,other:1408;analytics_log:125;jetsam:5;cloud_related_log:3,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,ORIGIN_CORE,120,6,4,analytics_log:111;jetsam:5;cloud_related_log:2;other:2,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,672,21,6,analytics_log:256;cloud_related_log:238;cpu_resource:88;rtcr_reporting:60;jetsam:23;other:7,CORE_DATE
USER_ORIGIN_MINI1,2025-08-05,ORIGIN_CORE,290,9,4,analytics_log:259;jetsam:26;other:4;cloud_related_log:1,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,ORIGIN_CORE,57,10,3,jetsam:40;diskwrites_resource:15;rtcr_reporting:2,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,ORIGIN_CORE,996,7,5,stacks:456;other:365;analytics_log:145;jetsam:28;rtcr_reporting:2,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-08,ORIGIN_CORE,174,7,5,analytics_log:152;jetsam:17;other:2;rtcr_reporting:2;cloud_related_log:1,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-09,ORIGIN_CORE,1145,23,8,diskwrites_resource:384;analytics_log:369;stacks:293;rtcr_reporting:56;jetsam:30;other:8;cloud_related_log:4;power_session:1,WINDOW_SUPPORT
USER_ORIGIN_MINI1,2025-08-10,ORIGIN_CORE,1156,15,9,stacks:717;analytics_log:221;diskwrites_resource:166;jetsam:26;cpu_resource:14;rtcr_reporting:8;other:2;cloud_related_log:1;power_session:1,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-01,BRIDGE_TO_LATER_JOKER,15,7,4,jetsam:6;analytics_log:5;other:3;cloud_related_log:1,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-02,BRIDGE_TO_LATER_JOKER,10,5,3,analytics_log:5;other:3;power_session:2,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-03,BRIDGE_TO_LATER_JOKER,32,6,4,jetsam:15;analytics_log:14;power_session:2;other:1,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,17,7,4,analytics_log:7;jetsam:4;other:4;power_session:2,CORE_DATE
USER_BRIDGE_15G,2025-08-05,BRIDGE_TO_LATER_JOKER,65,14,6,rtcr_reporting:26;jetsam:14;power_session:14;other:5;analytics_log:4;cloud_related_log:2,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-06,BRIDGE_TO_LATER_JOKER,25,11,6,jetsam:7;diskwrites_resource:6;other:5;analytics_log:4;power_session:2;cloud_related_log:1,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-07,BRIDGE_TO_LATER_JOKER,694,20,7,rtcr_reporting:667;jetsam:8;diskwrites_resource:6;other:5;analytics_log:4;cloud_related_log:2;power_session:2,WINDOW_SUPPORT
USER_BRIDGE_15G,2025-08-08,BRIDGE_TO_LATER_JOKER,27,10,3,other:13;jetsam:12;cloud_related_log:2,WINDOW_SUPPORT
