device,role,combined_backup_trust_verdict,backup_manifest_verdict,trust_lineage_verdict_43,raw_backup_manifest_from_40b,backup_manifest_source_hits_39b,backup_manifest_source_files_0804,claim_boundary
USER_ORIGIN_MINI1,ORIGIN_CORE,A_BACKUP_AND_TRUST_STRONG_OVERLAP,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,672,672,21,combined_local_shadow_not_server_side_or_restore_proof
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,E_NOT_DECISION,C_WEAK_BACKUP_MANIFEST_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,17,17,7,combined_local_shadow_not_server_side_or_restore_proof
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,A_BACKUP_AND_TRUST_STRONG_OVERLAP,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,1810,905,11,combined_local_shadow_not_server_side_or_restore_proof
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,E_NOT_DECISION,C_WEAK_BACKUP_MANIFEST_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,24,24,9,combined_local_shadow_not_server_side_or_restore_proof
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,A_BACKUP_AND_TRUST_STRONG_OVERLAP,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,911,911,2,combined_local_shadow_not_server_side_or_restore_proof
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,E_NOT_DECISION,C_WEAK_BACKUP_MANIFEST_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,27,27,4,combined_local_shadow_not_server_side_or_restore_proof
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_BACKUP_AND_TRUST_SUPPORTED_OVERLAP,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,6779,6779,11,combined_local_shadow_not_server_side_or_restore_proof
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,E_NOT_DECISION,C_WEAK_BACKUP_MANIFEST_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,28,28,5,combined_local_shadow_not_server_side_or_restore_proof
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,B_BACKUP_AND_TRUST_SUPPORTED_OVERLAP,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,183,183,19,combined_local_shadow_not_server_side_or_restore_proof
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,B_BACKUP_AND_TRUST_SUPPORTED_OVERLAP,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,536,536,4,combined_local_shadow_not_server_side_or_restore_proof
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,A_BACKUP_AND_TRUST_STRONG_OVERLAP,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,98,98,8,combined_local_shadow_not_server_side_or_restore_proof
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,E_NOT_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_TRUST_LINEAGE_DECISION,0,0,0,combined_local_shadow_not_server_side_or_restore_proof
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,E_NOT_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_TRUST_LINEAGE_DECISION,0,0,0,combined_local_shadow_not_server_side_or_restore_proof
