device,date,role,contact_class,human_contact,device_contact,geo_status,proximity_explanation_strength,cloud_needed_level,proximity_cloud_verdict,separation_score,reason_flags,final_tier_40b,support_class_40b,trust_lineage_verdict_43,backup_manifest_verdict_44,triald_direct_0804_from43,first_triald_direct_ts_0804_from43,raw_telecom_wifi_proximity_from40b,proximity_source_hits_39b_0804,proximity_source_files_39b_0804,proximity_source_kind_count_0804,wifi_bssid_rssi_hits_0804,commcenter_hits_0804,baseband_cellular_hits_0804,power_radio_context_hits_0804,network_config_hits_0804,nearby_apple_connectivity_hits_0804,rtcr_context_hits_0804,claim_boundary
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,EXTERNAL_NO_HUMAN_CONTACT_NO_DEVICE_CONTACT,NO,NO,EXTERNAL_NO_DIRECT_CONTACT,LOW,HIGH,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,98.893,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;EXTERNAL_NO_HUMAN_CONTACT_NO_DEVICE_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,NO,,2884,2884,11,6,133,0,0,79,1,0,2568,separation_model_not_cloud_server_or_physical_contact_proof
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,EXTERNAL_REMOTE_GEO_NO_PHYSICAL_DEVICE_CONTACT_AT_TIME,YES_CONTACTABLE,NO_PHYSICAL_AT_2025_0804,TH_WHILE_USER_VN,LOW_FOR_PHYSICAL_PROXIMITY,HIGH,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,72.208,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;EXTERNAL_REMOTE_GEO_NO_PHYSICAL_DEVICE_CONTACT_AT_TIME,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,YES,2025-08-04 21:37:02,102,102,18,3,0,0,0,35,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,EXTERNAL_UNCERTAIN_OR_NO_DIRECT_CONTACT,UNKNOWN_OR_NO_DIRECT_CONTACT,UNCERTAIN_LOW,UNKNOWN_EXPECTED_EXTERNAL,LOW_MEDIUM_UNCERTAIN,MEDIUM_HIGH,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,80.307,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;EXTERNAL_UNCERTAIN_OR_NO_DIRECT_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,YES,2025-08-04 05:40:38,1679,1679,8,4,829,0,0,65,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,68.344,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,YES,2025-08-04 18:35:47,255,255,7,4,25,0,0,132,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,60.895,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,NO,,152,152,30,1,0,0,0,0,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,50.78,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,NO,,103,103,3,1,0,0,0,0,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,VN_USER_SIDE,HIGH_FOR_USER_SIDE,LOW_FOR_THIS_DEVICE_ALONE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,91.65,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;USER_DEVICE_LOCAL_CONTEXT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,YES,2025-08-04 04:54:42,5018,5018,17,5,294,0,0,0,1,0,20,separation_model_not_cloud_server_or_physical_contact_proof
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,USER_ECOSYSTEM_SIDE,MEDIUM_HIGH_FOR_USER_DEVICE,LOW_MEDIUM,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,81.914,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;USER_DEVICE_LOCAL_CONTEXT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,YES,2025-08-04 05:31:36,1445,723,10,4,9,0,1,69,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,USER_ECOSYSTEM_SIDE,MEDIUM_HIGH_FOR_USER_DEVICE,LOW_MEDIUM,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,69.861,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;USER_DEVICE_LOCAL_CONTEXT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,YES,2025-08-04 21:25:17,681,681,3,2,0,0,0,40,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,VN_USER_SIDE,HIGH_FOR_USER_SIDE,LOW_FOR_THIS_DEVICE_ALONE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,64.919,proximity_artifact_present;trust_lineage_overlay;backup_manifest_overlay;triald_direct_overlay;USER_DEVICE_LOCAL_CONTEXT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,YES,2025-08-04 00:14:02,287,287,7,3,0,0,0,236,0,0,0,separation_model_not_cloud_server_or_physical_contact_proof
