device,date,timestamp_guess,source_kind,hit_count,relative_path,source_root_label,rank_in_device
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 07:00:08,analytics_context,4652,USER_ORIGIN_MINI1/2025/08/4/Analytics-2025-08-04-070008.ips.ca.synced,my_device_logs,1
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 13:07:34,wifi_bssid_rssi,177,USER_ORIGIN_MINI1/2025/08/4/WiFiConnectionQuality-2025-08-04-130734.ips,my_device_logs,2
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 13:18:22,wifi_bssid_rssi,117,USER_ORIGIN_MINI1/2025/08/4/WiFiConnectionQuality-2025-08-04-131822.ips,my_device_logs,3
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:51:55,rtcr_context,10,USER_ORIGIN_MINI1/2025/08/3/RTCReporting_messageLog_2025-08-04-02-51-55.txt,my_device_logs,4
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:51:55,rtcr_context,10,USER_ORIGIN_MINI1/2025/08/4/RTCReporting_messageLog_2025-08-04-02-51-55.txt,my_device_logs,5
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 04:53:59,other_proximity_context,10,USER_ORIGIN_MINI1/2025/08/4/signpost_reporter.cpu_resource-2025-08-04-045359.ips,my_device_logs,6
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:52:47,other_proximity_context,9,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-025247.ips,my_device_logs,7
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:56:27,other_proximity_context,9,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-025627.ips,my_device_logs,8
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 03:08:51,other_proximity_context,8,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-030851.ips,my_device_logs,9
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 07:13:01,other_proximity_context,7,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-071301.ips,my_device_logs,10
USER_BRIDGE_15G,2025-08-04,2025-08-04 15:56:17,power_radio_context,102,USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session,my_device_logs,1
