device,role,first_proximity_source_ts_0804_guess,first_triald_direct_ts_0804_from43,proximity_cloud_verdict,contact_class,trust_lineage_verdict_43,backup_manifest_verdict_44
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,2025-08-04 00:00:00,2025-08-04 05:31:36,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,USER_DEVICE_LOCAL_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,2025-08-04 00:25:43,2025-08-04 21:37:02,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,EXTERNAL_REMOTE_GEO_NO_PHYSICAL_DEVICE_CONTACT_AT_TIME,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,2025-08-04 01:09:46,,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,2025-08-04 01:37:12,,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,EXTERNAL_NO_HUMAN_CONTACT_NO_DEVICE_CONTACT,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,2025-08-04 01:52:20,2025-08-04 00:14:02,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,USER_DEVICE_LOCAL_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,2025-08-04 02:31:40,2025-08-04 21:25:17,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,USER_DEVICE_LOCAL_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE
USER_ORIGIN_MINI1,ORIGIN_CORE,2025-08-04 02:51:55,2025-08-04 04:54:42,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,USER_DEVICE_LOCAL_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,2025-08-04 04:31:22,2025-08-04 04:30:30,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,USER_DEVICE_LOCAL_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,2025-08-04 07:00:12,2025-08-04 05:40:38,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,EXTERNAL_UNCERTAIN_OR_NO_DIRECT_CONTACT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,2025-08-04 07:01:35,2025-08-04 18:35:47,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,2025-08-04 18:14:22,,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,,,E_NO_PROXIMITY_CLOUD_DECISION,GENERIC_EXTERNAL_LABEL_NOT_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,,,E_NO_PROXIMITY_CLOUD_DECISION,LOW_EXPOSURE_OR_NO_CORE_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW
