device,date,timestamp_guess,source_kind,hit_count,relative_path,source_root_label,rank_in_device
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 07:00:08,analytics_evidence_context,5097,USER_ORIGIN_MINI1/2025/08/4/Analytics-2025-08-04-070008.ips.ca.synced,my_device_logs,1
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 05:02:40,cpu_resource_pressure,29,USER_ORIGIN_MINI1/2025/08/4/ANECompilerService.cpu_resource-2025-08-04-050240.ips,my_device_logs,2
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:56:27,jetsam_memory_pressure,17,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-025627.ips,my_device_logs,3
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 03:08:51,jetsam_memory_pressure,17,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-030851.ips,my_device_logs,4
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:52:47,jetsam_memory_pressure,15,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-025247.ips,my_device_logs,5
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 07:13:01,jetsam_memory_pressure,14,USER_ORIGIN_MINI1/2025/08/4/JetsamEvent-2025-08-04-071301.ips,my_device_logs,6
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 21:31:29,other_evidence_pressure_context,7,USER_ORIGIN_MINI1/2025/08/4/searchd-2025-08-04-213129.ips,my_device_logs,7
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 07:25:07,diskwrites_storage_pressure,4,USER_ORIGIN_MINI1/2025/08/4/cloudd.diskwrites_resource-2025-08-04-072507.ips,my_device_logs,8
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 13:07:34,other_evidence_pressure_context,3,USER_ORIGIN_MINI1/2025/08/4/WiFiConnectionQuality-2025-08-04-130734.ips,my_device_logs,9
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 13:18:22,other_evidence_pressure_context,3,USER_ORIGIN_MINI1/2025/08/4/WiFiConnectionQuality-2025-08-04-131822.ips,my_device_logs,10
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 21:36:32,cpu_resource_pressure,3,USER_ORIGIN_MINI1/2025/08/4/duetexpertd.cpu_resource-2025-08-04-213632.ips,my_device_logs,11
USER_ORIGIN_MINI1,2025-08-04,2025-08-04 02:53:42,cpu_resource_pressure,3,USER_ORIGIN_MINI1/2025/08/4/pkd.cpu_resource-2025-08-04-025342.ips,my_device_logs,12
USER_BRIDGE_15G,2025-08-04,2025-08-04 07:00:22,analytics_evidence_context,152,USER_BRIDGE_15G/2025/08/4/Analytics-2025-08-04-070022.ips.ca.synced,my_device_logs,1
USER_BRIDGE_15G,2025-08-04,2025-08-04 15:56:17,power_thermal_evidence_context,59,USER_BRIDGE_15G/2025/08/4/log-power-2025-08-04-155617.session,my_device_logs,2
USER_BRIDGE_15G,2025-08-04,2025-08-04 15:56:17,power_thermal_evidence_context,59,退避フォルダ/USER_BRIDGE_15G/bin&session/log-power-2025-08-04-155617.session,my_device_logs,3
USER_BRIDGE_15G,2025-08-04,2025-08-04 19:14:24,power_thermal_evidence_context,10,USER_BRIDGE_15G/2025/08/4/LowBatteryLog-2025-08-04-191424.ips,my_device_logs,4
USER_BRIDGE_15G,2025-08-04,2025-08-04 19:01:35,other_evidence_pressure_context,7,USER_BRIDGE_15G/2025/08/4/ChatGPT-2025-08-04-190135.ips,my_device_logs,5
USER_BRIDGE_15G,2025-08-04,2025-08-04 01:52:20,jetsam_memory_pressure,7,USER_BRIDGE_15G/2025/08/4/JetsamEvent-2025-08-04-015220.ips,my_device_logs,6
USER_BRIDGE_15G,2025-08-04,2025-08-04 22:10:52,other_evidence_pressure_context,6,USER_BRIDGE_15G/2025/08/4/IntentsExtension-2025-08-04-221052.ips,my_device_logs,7
USER_BRIDGE_15G,2025-08-04,2025-08-04 22:30:56,cpu_resource_pressure,3,USER_BRIDGE_15G/2025/08/4/duetexpertd.cpu_resource-2025-08-04-223056.ips,my_device_logs,8
USER_BRIDGE_15G,2025-08-04,2025-08-04 12:20:06,other_evidence_pressure_context,2,USER_BRIDGE_15G/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-122006.ips,my_device_logs,9
USER_BRIDGE_15G,2025-08-04,2025-08-04 01:07:45,other_evidence_pressure_context,1,USER_BRIDGE_15G/2025/08/4/SiriSearchFeedback-2025-08-04-010745.ips,my_device_logs,10
USER_BRIDGE_15G,2025-08-04,2025-08-04 01:51:25,other_evidence_pressure_context,1,USER_BRIDGE_15G/2025/08/4/SiriSearchFeedback-2025-08-04-015125.ips,my_device_logs,11
USER_BRIDGE_15G,2025-08-04,2025-08-04 01:51:34,other_evidence_pressure_context,1,USER_BRIDGE_15G/2025/08/4/SiriSearchFeedback-2025-08-04-015134.ips,my_device_logs,12
USER_DEVICE_12G,2025-08-04,2025-08-04 15:15:52,sysdiagnose_stacks_context,454,USER_DEVICE_12G/2025/08/4/stacks-2025-08-04-151552.ips,my_device_logs,1
USER_DEVICE_12G,2025-08-04,2025-08-04 21:17:08,sysdiagnose_stacks_context,330,USER_DEVICE_12G/2025/08/4/stacks-2025-08-04-211708.ips,my_device_logs,2
USER_DEVICE_12G,2025-08-04,2025-08-04 21:24:10,power_thermal_evidence_context,34,USER_DEVICE_12G/2025/08/4/log-power-2025-08-04-212410.000.session,my_device_logs,3
USER_DEVICE_12G,2025-08-04,2025-08-04 06:10:31,jetsam_memory_pressure,19,USER_DEVICE_12G/2025/08/4/JetsamEvent-2025-08-04-061031.ips,my_device_logs,4
USER_DEVICE_12G,2025-08-04,2025-08-04 13:12:51,other_evidence_pressure_context,3,USER_DEVICE_12G/2025/08/4/WiFiConnectionQuality-2025-08-04-131251.ips,my_device_logs,5
USER_DEVICE_12G,2025-08-04,2025-08-04 21:24:10,cpu_resource_pressure,3,USER_DEVICE_12G/2025/08/4/signpost_reporter.cpu_resource-2025-08-04-212410.ips,my_device_logs,6
USER_DEVICE_12G,2025-08-04,2025-08-04 14:56:13,cpu_resource_pressure,3,USER_DEVICE_12G/2025/08/4/spotlightknowledged.cpu_resource-2025-08-04-145613.ips,my_device_logs,7
USER_DEVICE_12G,2025-08-04,2025-08-04 05:32:15,other_evidence_pressure_context,2,USER_DEVICE_12G/2025/08/4/SFA-transparency.json-2025-08-04-053215.ips,my_device_logs,8
USER_DEVICE_12G,2025-08-04,2025-08-04 21:22:26,other_evidence_pressure_context,2,USER_DEVICE_12G/2025/08/4/SFA-transparency.json-2025-08-04-212226.ips,my_device_logs,9
USER_DEVICE_12G,2025-08-04,2025-08-04 12:27:38,other_evidence_pressure_context,2,USER_DEVICE_12G/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-122738.ips,my_device_logs,10
USER_DEVICE_12G,2025-08-04,2025-08-04 00:00:00,other_evidence_pressure_context,2,退避フォルダ/USER_DEVICE_12G/Baseband/log-bb-2025-08-04-stats.plist,my_device_logs,11
USER_DEVICE_12G,2025-08-04,2025-08-04 05:32:14,other_evidence_pressure_context,1,USER_DEVICE_12G/2025/08/4/SFA-CloudServices.json-2025-08-04-053214.ips,my_device_logs,12
USER_DEVICE_MINI2,2025-08-04,2025-08-04 22:30:00,jetsam_memory_pressure,15,USER_DEVICE_MINI2/2025/08/4/JetsamEvent-2025-08-04-223000.ips,my_device_logs,1
USER_DEVICE_MINI2,2025-08-04,2025-08-04 22:30:00,jetsam_memory_pressure,15,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/JetsamEvent-2025-08-04-223000.ips,my_device_logs,2
USER_DEVICE_MINI2,2025-08-04,2025-08-04 22:30:00,jetsam_memory_pressure,15,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/JetsamEvent-2025-08-04-223000.ips,my_device_logs,3
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:31:22,power_thermal_evidence_context,12,USER_DEVICE_MINI2/2025/08/4/log-power-2025-08-04-043122.session,my_device_logs,4
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:31:22,power_thermal_evidence_context,12,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/log-power-2025-08-04-043122.session,my_device_logs,5
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:31:22,power_thermal_evidence_context,12,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/log-power-2025-08-04-043122.session,my_device_logs,6
USER_DEVICE_MINI2,2025-08-04,2025-08-04 12:18:49,other_evidence_pressure_context,2,USER_DEVICE_MINI2/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-121849.ips,my_device_logs,7
USER_DEVICE_MINI2,2025-08-04,2025-08-04 12:18:49,other_evidence_pressure_context,2,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/xp_amp_app_usage_dnu-2025-08-04-121849.ips,my_device_logs,8
USER_DEVICE_MINI2,2025-08-04,2025-08-04 12:18:49,other_evidence_pressure_context,2,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/xp_amp_app_usage_dnu-2025-08-04-121849.ips,my_device_logs,9
USER_DEVICE_MINI2,2025-08-04,2025-08-04 21:25:40,other_evidence_pressure_context,1,USER_DEVICE_MINI2/2025/08/4/SFA-CloudServices.json-2025-08-04-212540.ips,my_device_logs,10
USER_DEVICE_MINI2,2025-08-04,2025-08-04 21:25:42,other_evidence_pressure_context,1,USER_DEVICE_MINI2/2025/08/4/SFA-ckks.json-2025-08-04-212542.ips,my_device_logs,11
USER_DEVICE_MINI2,2025-08-04,2025-08-04 21:25:43,other_evidence_pressure_context,1,USER_DEVICE_MINI2/2025/08/4/SFA-local.json-2025-08-04-212543.000.ips,my_device_logs,12
USER_DEVICE_11PRO,2025-08-04,2025-08-04 13:57:26,sysdiagnose_stacks_context,432,USER_DEVICE_11PRO/2025/08/4/stacks-2025-08-04-135726.ips,my_device_logs,1
USER_DEVICE_11PRO,2025-08-04,2025-08-04 04:29:49,sysdiagnose_stacks_context,409,USER_DEVICE_11PRO/2025/08/4/stacks-2025-08-04-042949.ips,my_device_logs,2
USER_DEVICE_11PRO,2025-08-04,2025-08-04 02:31:40,power_thermal_evidence_context,31,USER_DEVICE_11PRO/2025/08/4/log-power-2025-08-04-023140.session,my_device_logs,3
USER_DEVICE_11PRO,2025-08-04,2025-08-04 08:34:56,cpu_resource_pressure,3,USER_DEVICE_11PRO/2025/08/4/knowledgeconstructiond.cpu_resource-2025-08-04-083456.ips,my_device_logs,4
USER_DEVICE_11PRO,2025-08-04,2025-08-04 12:27:46,other_evidence_pressure_context,2,USER_DEVICE_11PRO/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-122746.ips,my_device_logs,5
USER_DEVICE_11PRO,2025-08-04,2025-08-04 15:27:51,other_evidence_pressure_context,1,USER_DEVICE_11PRO/2025/08/4/SiriSearchFeedback-2025-08-04-152751.ips,my_device_logs,6
USER_DEVICE_11PRO,2025-08-04,2025-08-04 21:18:31,other_evidence_pressure_context,1,USER_DEVICE_11PRO/2025/08/4/SiriSearchFeedback-2025-08-04-211831.ips,my_device_logs,7
USER_DEVICE_11PRO,2025-08-04,2025-08-04 21:25:17,other_evidence_pressure_context,1,USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips,my_device_logs,8
USER_DEVICE_11PRO,2025-08-04,2025-08-04 00:37:53,other_evidence_pressure_context,1,USER_DEVICE_11PRO/2025/08/4/xp_amp_app_usage_dnu-2025-08-04-003753.ips,my_device_logs,9
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 07:00:12,analytics_evidence_context,794,EXT_UNCERTAIN_B/08/4/Analytics-2025-08-04-070012.ips.ca.synced,friend_device_logs,1
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 17:58:45,power_thermal_evidence_context,24,EXT_UNCERTAIN_B/08/4/log-power-2025-08-04-175845.session,friend_device_logs,2
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 07:16:02,jetsam_memory_pressure,13,EXT_UNCERTAIN_B/08/4/JetsamEvent-2025-08-04-071602.ips,friend_device_logs,3
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 07:06:45,jetsam_memory_pressure,12,EXT_UNCERTAIN_B/08/4/JetsamEvent-2025-08-04-070645.ips,friend_device_logs,4
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 07:35:46,cpu_resource_pressure,3,EXT_UNCERTAIN_B/08/4/DASDelegateService.cpu_resource-2025-08-04-073546.ips,friend_device_logs,5
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 11:33:50,other_evidence_pressure_context,3,EXT_UNCERTAIN_B/08/4/WiFiConnectionQuality-2025-08-04-113350.ips,friend_device_logs,6
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 19:02:01,other_evidence_pressure_context,3,EXT_UNCERTAIN_B/08/4/WiFiConnectionQuality-2025-08-04-190201.ips,friend_device_logs,7
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 19:44:01,other_evidence_pressure_context,3,EXT_UNCERTAIN_B/08/4/WiFiConnectionQuality-2025-08-04-194401.ips,friend_device_logs,8
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 07:16:20,cpu_resource_pressure,3,EXT_UNCERTAIN_B/08/4/duetexpertd.cpu_resource-2025-08-04-071620.ips,friend_device_logs,9
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 20:48:59,cpu_resource_pressure,2,EXT_UNCERTAIN_B/08/4/ospredictiond.cpu_resource-2025-08-04-204859.ips,friend_device_logs,10
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 01:28:42,other_evidence_pressure_context,1,EXT_UNCERTAIN_B/08/4/SiriSearchFeedback-2025-08-04-012842.ips,friend_device_logs,11
EXT_UNCERTAIN_B,2025-08-04,2025-08-04 02:44:10,other_evidence_pressure_context,1,EXT_UNCERTAIN_B/08/4/SiriSearchFeedback-2025-08-04-024410.ips,friend_device_logs,12
EXT_NO_CONTACT_A,2025-08-04,2025-08-04 04:27:11,rtcr_reporting_context,5668,EXT_NO_CONTACT_A/2025/08/4/RTCReporting_messageLog_2025-08-04-04-27-11.txt,friend_device_logs,1
EXT_NO_CONTACT_A,2025-08-04,2025-08-04 07:01:26,analytics_evidence_context,53,EXT_NO_CONTACT_A/2025/08/4/Analytics-2025-08-04-070126.ips.ca.synced,friend_device_logs,2
EXT_NO_CONTACT_A,2025-08-04,2025-08-04 18:16:37,power_thermal_evidence_context,38,EXT_NO_CONTACT_A/2025/08/4/log-power-2025-08-04-181637.session,friend_device_logs,3
