device,date,source_kind,hit_count,role
USER_ORIGIN_MINI1,2025-08-04,analytics_evidence_context,5097,ORIGIN_CORE
USER_ORIGIN_MINI1,2025-08-04,other_evidence_pressure_context,70,ORIGIN_CORE
USER_ORIGIN_MINI1,2025-08-04,jetsam_memory_pressure,63,ORIGIN_CORE
USER_ORIGIN_MINI1,2025-08-04,cpu_resource_pressure,41,ORIGIN_CORE
USER_ORIGIN_MINI1,2025-08-04,diskwrites_storage_pressure,4,ORIGIN_CORE
USER_BRIDGE_15G,2025-08-04,analytics_evidence_context,152,BRIDGE_TO_LATER_JOKER
USER_BRIDGE_15G,2025-08-04,power_thermal_evidence_context,128,BRIDGE_TO_LATER_JOKER
USER_BRIDGE_15G,2025-08-04,other_evidence_pressure_context,26,BRIDGE_TO_LATER_JOKER
USER_BRIDGE_15G,2025-08-04,jetsam_memory_pressure,7,BRIDGE_TO_LATER_JOKER
USER_BRIDGE_15G,2025-08-04,cpu_resource_pressure,3,BRIDGE_TO_LATER_JOKER
USER_DEVICE_12G,2025-08-04,sysdiagnose_stacks_context,784,USER_CLUSTER_SUPPORT
USER_DEVICE_12G,2025-08-04,other_evidence_pressure_context,55,USER_CLUSTER_SUPPORT
USER_DEVICE_12G,2025-08-04,power_thermal_evidence_context,34,USER_CLUSTER_SUPPORT
USER_DEVICE_12G,2025-08-04,jetsam_memory_pressure,19,USER_CLUSTER_SUPPORT
USER_DEVICE_12G,2025-08-04,cpu_resource_pressure,6,USER_CLUSTER_SUPPORT
USER_DEVICE_MINI2,2025-08-04,other_evidence_pressure_context,60,USER_CLUSTER_SUPPORT
USER_DEVICE_MINI2,2025-08-04,jetsam_memory_pressure,45,USER_CLUSTER_SUPPORT
USER_DEVICE_MINI2,2025-08-04,power_thermal_evidence_context,36,USER_CLUSTER_SUPPORT
USER_DEVICE_11PRO,2025-08-04,sysdiagnose_stacks_context,841,USER_CLUSTER_SUPPORT
USER_DEVICE_11PRO,2025-08-04,power_thermal_evidence_context,31,USER_CLUSTER_SUPPORT
USER_DEVICE_11PRO,2025-08-04,other_evidence_pressure_context,6,USER_CLUSTER_SUPPORT
USER_DEVICE_11PRO,2025-08-04,cpu_resource_pressure,3,USER_CLUSTER_SUPPORT
EXT_UNCERTAIN_B,2025-08-04,analytics_evidence_context,794,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT
EXT_UNCERTAIN_B,2025-08-04,other_evidence_pressure_context,32,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT
EXT_UNCERTAIN_B,2025-08-04,jetsam_memory_pressure,25,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT
EXT_UNCERTAIN_B,2025-08-04,power_thermal_evidence_context,24,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT
EXT_UNCERTAIN_B,2025-08-04,cpu_resource_pressure,8,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT
EXT_NO_CONTACT_A,2025-08-04,rtcr_reporting_context,5668,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,analytics_evidence_context,53,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,other_evidence_pressure_context,49,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,power_thermal_evidence_context,38,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,jetsam_memory_pressure,28,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,cpu_resource_pressure,6,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_NO_CONTACT_A,2025-08-04,diskwrites_storage_pressure,3,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT
EXT_CONTACT_D,2025-08-04,analytics_evidence_context,305,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_D,2025-08-04,power_thermal_evidence_context,214,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_D,2025-08-04,jetsam_memory_pressure,55,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_D,2025-08-04,other_evidence_pressure_context,14,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_D,2025-08-04,cpu_resource_pressure,2,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_D,2025-08-04,diskwrites_storage_pressure,2,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_12PROMAX,2025-08-04,jetsam_memory_pressure,269,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_12PROMAX,2025-08-04,other_evidence_pressure_context,57,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_12PROMAX,2025-08-04,cpu_resource_pressure,4,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_12PROMAX,2025-08-04,diskwrites_storage_pressure,3,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_6SPLUS,2025-08-04,sysdiagnose_stacks_context,231,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_6SPLUS,2025-08-04,other_evidence_pressure_context,17,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_6SPLUS,2025-08-04,jetsam_memory_pressure,13,EXTERNAL_CONTACT_KNOWN
EXT_CONTACT_E_6SPLUS,2025-08-04,analytics_evidence_context,3,EXTERNAL_CONTACT_KNOWN
EXT_REMOTE_GEO_C,2025-08-04,analytics_evidence_context,111,EXTERNAL_GEO_SEPARATED
EXT_REMOTE_GEO_C,2025-08-04,jetsam_memory_pressure,86,EXTERNAL_GEO_SEPARATED
EXT_REMOTE_GEO_C,2025-08-04,power_thermal_evidence_context,23,EXTERNAL_GEO_SEPARATED
EXT_REMOTE_GEO_C,2025-08-04,other_evidence_pressure_context,16,EXTERNAL_GEO_SEPARATED
EXT_REMOTE_GEO_C,2025-08-04,cpu_resource_pressure,4,EXTERNAL_GEO_SEPARATED
