device,role,first_evidence_source_ts_0804_guess,triald_direct_0804_from43,evidence_suppression_verdict,trust_lineage_verdict_43,backup_manifest_verdict_44,proximity_cloud_verdict_45
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,2025-08-04 00:00:00,YES,A_EVIDENCE_SUPPRESSION_SHADOW_SUPPORTED,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,2025-08-04 00:01:00,YES,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,2025-08-04 00:14:02,YES,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,2025-08-04 00:14:28,YES,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,2025-08-04 00:37:53,YES,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,2025-08-04 01:09:46,NO,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,2025-08-04 01:28:42,YES,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,2025-08-04 01:36:15,NO,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT
USER_ORIGIN_MINI1,ORIGIN_CORE,2025-08-04 02:52:47,YES,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,2025-08-04 03:06:42,YES,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,2025-08-04 18:14:22,NO,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,,NO,E_NO_EVIDENCE_SUPPRESSION_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,,NO,E_NO_EVIDENCE_SUPPRESSION_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION
