device,role,layer_count_6,strong_layer_count_6,bounded_composite_score,stress_result,layers
USER_ORIGIN_MINI1,ORIGIN_CORE,6,5,211.447,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,6,5,205.908,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,6,5,193.233,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,6,4,193.188,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,5,3,176.873,CLUSTER_PATTERN_PRESENT,cluster_core_40b;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,5,4,170.591,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;proximity_or_cloud;evidence_pressure
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,5,3,161.138,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;proximity_or_cloud;evidence_pressure
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,5,3,157.959,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;proximity_or_cloud;evidence_pressure
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,5,3,155.5,CLUSTER_PATTERN_PRESENT,cluster_core_40b;triald_direct;trust_lineage;proximity_or_cloud;evidence_pressure
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,5,1,151.156,CLUSTER_PATTERN_SUPPORTED,cluster_core_40b;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,5,1,137.979,CLUSTER_PATTERN_SUPPORTED,cluster_core_40b;trust_lineage;backup_manifest;proximity_or_cloud;evidence_pressure
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,0,0,0.0,CONTROL_PASSES_NO_CLUSTER_DENSITY,
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,0,0,0.0,CONTROL_PASSES_NO_CLUSTER_DENSITY,
