device,role,final_class_48,bounded_final_score_not_probability,layer_count_7,strong_layer_count_7,layers_present
USER_ORIGIN_MINI1,ORIGIN_CORE,A_FINAL_ORIGIN_CORE_MULTI_LAYER_SUPPORTED,100.0,7,6,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,A_MINUS_FINAL_REMOTE_GEO_SEPARATED_REVIEW,97.0,7,6,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,92.0,7,6,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,92.0,7,6,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_FINAL_MULTI_LAYER_SUPPORTED,83.0,6,5,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,A_MINUS_FINAL_BRIDGE_SUPPORTED_BACKUP_WEAK,82.0,6,5,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,A_FINAL_MULTI_LAYER_SUPPORTED,78.0,6,5,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,A_FINAL_MULTI_LAYER_SUPPORTED,72.0,6,4,cluster_core_40b;trial_broad_42;triald_direct_42b43;trust_lineage_43;proximity_cloud_45;evidence_pressure_46
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,B_FINAL_MULTI_LAYER_SUPPORTED_WITH_WEAK_EDGE,66.0,6,3,cluster_core_40b;trial_broad_42;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,C_FINAL_CONTEXT_SUPPORTED_REVIEW,60.0,6,2,cluster_core_40b;trial_broad_42;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_MINUS_FINAL_RAW_ONLY_EXTERNAL_CRITICAL_REVIEW,58.0,6,3,cluster_core_40b;trial_broad_42;trust_lineage_43;backup_manifest_44;proximity_cloud_45;evidence_pressure_46
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,E_CONTROL_OR_EXCLUDED_NO_FINAL_CLUSTER_DECISION,0.0,0,0,
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,E_CONTROL_OR_EXCLUDED_NO_FINAL_CLUSTER_DECISION,0.0,0,0,
